City,State,code,population
Carson city,California,CA,"91,358"
Trenton city,New Jersey,NJ,"91,193"
Compton city,California,CA,"91,129"
South Gate city,California,CA,"90,805"
Santa Monica city,California,CA,"90,729"
Newton city,Massachusetts,MA,"90,700"
Santa Fe city,New Mexico,NM,"90,551"
Deerfield Beach city,Florida,FL,"90,507"
Fort Smith city,Arkansas,AR,"90,507"
Clifton city,New Jersey,NJ,"90,322"
Lawton city,Oklahoma,OK,"90,027"
Frederick city,Maryland,MD,"89,537"
Westminster city,California,CA,"89,537"
Springdale city,Arkansas,AR,"89,368"
Lawrence city,Massachusetts,MA,"89,332"
Troy city,Michigan,MI,"89,209"
Franklin city,Tennessee,TN,"89,142"
Danbury city,Connecticut,CT,"88,692"
Ogden city,Utah,UT,"88,656"
Mission city,Texas,TX,"88,574"
Waukegan city,Illinois,IL,"88,570"
Bloomington city,Minnesota,MN,"88,344"
Folsom city,California,CA,"88,091"
Duluth city,Minnesota,MN,"87,986"
Melbourne city,Florida,FL,"87,561"
Leander city,Texas,TX,"87,511"
Mountain View city,California,CA,"87,316"
Santa Barbara city,California,CA,"87,291"
Lake Forest city,California,CA,"87,159"
Citrus Heights city,California,CA,"86,909"
Sioux City city,Iowa,IA,"86,875"
Kennewick city,Washington,WA,"86,728"
San Leandro city,California,CA,"86,571"
Medford city,Oregon,OR,"86,301"
Warner Robins city,Georgia,GA,"86,199"
South Jordan city,Utah,UT,"86,156"
Daytona Beach city,Florida,FL,"86,015"
Baytown city,Texas,TX,"86,004"
San Ramon city,California,CA,"85,924"
Homestead city,Florida,FL,"85,796"
Whittier city,California,CA,"85,589"
Gastonia city,North Carolina,NC,"85,535"
Auburn city,Washington,WA,"85,513"
New Rochelle city,New York,NY,"85,512"
Livermore city,California,CA,"84,867"
Kissimmee city,Florida,FL,"84,756"
Cranston city,Rhode Island,RI,"84,448"
Layton city,Utah,UT,"84,348"
Farmington Hills city,Michigan,MI,"84,173"
Rancho Cordova city,California,CA,"84,113"
Queen Creek town,Arizona,AZ,"83,781"
Auburn city,Alabama,AL,"83,757"
Longview city,Texas,TX,"83,668"
Hawthorne city,California,CA,"83,633"
Doral city,Florida,FL,"83,625"
Warwick city,Rhode Island,RI,"83,554"
Miami Beach city,Florida,FL,"83,251"
Castle Rock town,Colorado,CO,"83,213"
Boynton Beach city,Florida,FL,"83,095"
Perris city,California,CA,"83,032"
Redwood City city,California,CA,"82,982"
Newport Beach city,California,CA,"82,970"
Brooklyn Park city,Minnesota,MN,"82,893"
Westland city,Michigan,MI,"82,745"
Buena Park city,California,CA,"82,611"
Jonesboro city,Arkansas,AR,"82,384"
Largo city,Florida,FL,"82,337"
Redmond city,Washington,WA,"82,195"
Somerville city,Massachusetts,MA,"82,149"
Cicero town,Illinois,IL,"82,090"
Pasco city,Washington,WA,"81,724"
Johns Creek city,Georgia,GA,"81,167"
Lake Charles city,Louisiana,LA,"81,157"
Pharr city,Texas,TX,"81,142"
Loveland city,Colorado,CO,"81,102"
Mansfield city,Texas,TX,"80,803"
Woodbury city,Minnesota,MN,"80,596"
Lynchburg city,Virginia,VA,"80,301"
Alhambra city,California,CA,"80,279"
Flower Mound town,Texas,TX,"79,990"
Bloomington city,Indiana,IN,"79,986"
Rapid City city,South Dakota,SD,"79,894"
Milpitas city,California,CA,"79,746"
Flint city,Michigan,MI,"79,735"
Upland city,California,CA,"79,684"
Bethlehem city,Pennsylvania,PA,"79,453"
Parma city,Ohio,OH,"79,350"
Bloomington city,Illinois,IL,"79,232"
Bowling Green city,Kentucky,KY,"79,076"
Tustin city,California,CA,"78,863"
Alameda city,California,CA,"78,795"
Missouri City city,Texas,TX,"78,582"
Wyoming city,Michigan,MI,"78,559"
Plymouth city,Minnesota,MN,"78,551"
Lakewood city,California,CA,"78,494"
Cedar Park city,Texas,TX,"78,380"
Rochester Hills city,Michigan,MI,"78,330"
Broomfield city,Colorado,CO,"78,323"
Mableton city,Georgia,GA,"78,314"
Missoula city,Montana,MT,"78,204"
Racine city,Wisconsin,WI,"78,057"
Lakeville city,Minnesota,MN,"77,971"
Bismarck city,North Dakota,ND,"77,772"
Flagstaff city,Arizona,AZ,"77,539"
Chino Hills city,California,CA,"77,418"
Pittsburg city,California,CA,"77,131"
Schaumburg village,Illinois,IL,"77,099"
Pawtucket city,Rhode Island,RI,"76,996"
Napa city,California,CA,"76,921"
Southfield city,Michigan,MI,"76,874"
Ankeny city,Iowa,IA,"76,727"
Iowa City city,Iowa,IA,"76,710"
Maricopa city,Arizona,AZ,"76,654"
Lauderhill city,Florida,FL,"76,627"
Marysville city,Washington,WA,"76,209"
Hammond city,Indiana,IN,"76,030"
Evanston city,Illinois,IL,"76,006"
Apex town,North Carolina,NC,"75,977"
Scranton city,Pennsylvania,PA,"75,905"
New Britain city,Connecticut,CT,"75,871"
Rock Hill city,South Carolina,SC,"75,798"
Bellflower city,California,CA,"75,716"
Pleasanton city,California,CA,"75,664"
Rogers city,Arkansas,AR,"75,639"
Arlington Heights village,Illinois,IL,"75,596"
Appleton city,Wisconsin,WI,"75,344"
Noblesville city,Indiana,IN,"75,239"
Blaine city,Minnesota,MN,"75,172"
Tamarac city,Florida,FL,"75,147"
Rocklin city,California,CA,"75,129"
Apple Valley town,California,CA,"75,029"
Bolingbrook village,Illinois,IL,"74,756"
Gulfport city,Mississippi,MS,"74,621"
Bayonne city,New Jersey,NJ,"74,532"
Greenville city,South Carolina,SC,"74,371"
San Marcos city,Texas,TX,"74,316"
Redlands city,California,CA,"74,279"
West Des Moines city,Iowa,IA,"73,664"
Johnson City city,Tennessee,TN,"73,635"
Lake Elsinore city,California,CA,"73,595"
Framingham city,Massachusetts,MA,"73,361"
Kalamazoo city,Michigan,MI,"73,290"
Wilmington city,Delaware,DE,"73,176"
Caldwell city,Idaho,ID,"73,088"
Turlock city,California,CA,"72,888"
Maple Grove city,Minnesota,MN,"72,739"
Tulare city,California,CA,"72,601"
St. Charles city,Missouri,MO,"72,458"
Eau Claire city,Wisconsin,WI,"72,331"
Harlingen city,Texas,TX,"72,234"
St. Cloud city,Minnesota,MN,"72,145"
Mount Vernon city,New York,NY,"71,999"
East Orange city,New Jersey,NJ,"71,850"
Lafayette city,Indiana,IN,"71,757"
Camden city,New Jersey,NJ,"71,749"
Dothan city,Alabama,AL,"71,650"
Waukesha city,Wisconsin,WI,"71,461"
North Richland Hills city,Texas,TX,"71,436"
St. Joseph city,Missouri,MO,"71,098"
St. Cloud city,Florida,FL,"71,036"
Jacksonville city,North Carolina,NC,"70,840"
Walnut Creek city,California,CA,"70,817"
Eastvale city,California,CA,"70,751"
Passaic city,New Jersey,NJ,"70,722"
Conway city,Arkansas,AR,"70,711"
Gaithersburg city,Maryland,MD,"70,686"
Weston city,Florida,FL,"70,674"
Grand Junction city,Colorado,CO,"70,554"
Dublin city,California,CA,"70,544"
Ocala city,Florida,FL,"70,251"
Commerce City city,Colorado,CO,"70,245"
Delray Beach city,Florida,FL,"70,140"
Camarillo city,California,CA,"69,881"
Shawnee city,Kansas,KS,"69,724"
Portland city,Maine,ME,"69,568"
Idaho Falls city,Idaho,ID,"69,523"
Schenectady city,New York,NY,"69,495"
Jackson city,Tennessee,TN,"69,303"
Baldwin Park city,California,CA,"69,247"
Canton city,Ohio,OH,"69,211"
Yuba City city,California,CA,"69,148"
Madera city,California,CA,"69,094"
Ames city,Iowa,IA,"69,026"
Casa Grande city,Arizona,AZ,"68,927"
Decatur city,Illinois,IL,"68,763"
Lodi city,California,CA,"68,642"
Rockville city,Maryland,MD,"68,417"
Haverhill city,Massachusetts,MA,"68,291"
Greenwood city,Indiana,IN,"68,175"
Rowlett city,Texas,TX,"68,123"
Redondo Beach city,California,CA,"68,075"
Novi city,Michigan,MI,"67,675"
Palo Alto city,California,CA,"67,658"
Gary city,Indiana,IN,"67,555"
Waterloo city,Iowa,IA,"67,477"
Alpharetta city,Georgia,GA,"67,275"
Oshkosh city,Wisconsin,WI,"67,242"
Eagan city,Minnesota,MN,"67,240"
Davis city,California,CA,"67,125"
Huntersville town,North Carolina,NC,"67,087"
Sanford city,Florida,FL,"66,919"
Union City city,New Jersey,NJ,"66,918"
Pflugerville city,Texas,TX,"66,819"
Albany city,Georgia,GA,"66,705"
Malden city,Massachusetts,MA,"66,693"
Port Orange city,Florida,FL,"66,556"
Yorba Linda city,California,CA,"66,489"
Sammamish city,Washington,WA,"66,474"
Janesville city,Wisconsin,WI,"66,428"
Brentwood city,California,CA,"66,286"
Shoreline city,Washington,WA,"66,251"
Union City city,California,CA,"66,196"
Victoria city,Texas,TX,"66,020"
Palatine village,Illinois,IL,"65,951"
Skokie village,Illinois,IL,"65,850"
Waltham city,Massachusetts,MA,"65,849"
Kyle city,Texas,TX,"65,833"
Lorain city,Ohio,OH,"65,751"
Cheyenne city,Wyoming,WY,"65,704"
Parker town,Colorado,CO,"65,473"
Muncie city,Indiana,IN,"65,320"
Burnsville city,Minnesota,MN,"64,864"
Bellevue city,Nebraska,NE,"64,777"
South San Francisco city,California,CA,"64,660"
Kenner city,Louisiana,LA,"64,650"
North Little Rock city,Arkansas,AR,"64,498"
Richland city,Washington,WA,"64,372"
Millcreek city,Utah,UT,"64,217"
Laguna Niguel city,California,CA,"64,185"
Madison city,Alabama,AL,"64,029"
Chapel Hill town,North Carolina,NC,"64,028"
Hamilton city,Ohio,OH,"63,953"
Hendersonville city,Tennessee,TN,"63,947"
Moore city,Oklahoma,OK,"63,845"
Coon Rapids city,Minnesota,MN,"63,807"
Utica city,New York,NY,"63,660"
Lynwood city,California,CA,"63,596"
Porterville city,California,CA,"63,517"
Palm Beach Gardens city,Florida,FL,"63,284"
Wellington village,Florida,FL,"63,258"
Bossier City city,Louisiana,LA,"63,218"
Marietta city,Georgia,GA,"63,122"
Westfield city,Indiana,IN,"62,994"
Jupiter town,Florida,FL,"62,987"
Woodland city,California,CA,"62,983"
Wylie city,Texas,TX,"62,954"
Eden Prairie city,Minnesota,MN,"62,905"
Apopka city,Florida,FL,"62,777"
Lakewood city,Washington,WA,"62,709"
Council Bluffs city,Iowa,IA,"62,665"
San Clemente city,California,CA,"62,627"
Santa Cruz city,California,CA,"62,581"
White Plains city,New York,NY,"62,561"
Pontiac city,Michigan,MI,"62,528"
Marana town,Arizona,AZ,"62,380"
Herriman city,Utah,UT,"62,352"
North Miami city,Florida,FL,"62,202"
Bristol city,Connecticut,CT,"62,195"
Vineland city,New Jersey,NJ,"62,070"
Corvallis city,Oregon,OR,"61,993"
Taunton city,Massachusetts,MA,"61,936"
Bentonville city,Arkansas,AR,"61,791"
Taylor city,Michigan,MI,"61,544"
St. Peters city,Missouri,MO,"61,398"
La Habra city,California,CA,"61,391"
Burlington city,North Carolina,NC,"61,365"
Blue Springs city,Missouri,MO,"61,246"
Little Elm city,Texas,TX,"61,219"
Springfield city,Oregon,OR,"61,182"
Encinitas city,California,CA,"61,137"
Dearborn Heights city,Michigan,MI,"61,040"
Stonecrest city,Georgia,GA,"61,015"
Meriden city,Connecticut,CT,"60,849"
La Mesa city,California,CA,"60,767"
Revere city,Massachusetts,MA,"60,702"
Owensboro city,Kentucky,KY,"60,675"
Margate city,Florida,FL,"60,650"
Montebello city,California,CA,"60,617"
Hanford city,California,CA,"60,594"
Eagle Mountain city,Utah,UT,"60,575"
Kannapolis city,North Carolina,NC,"60,521"
Gilroy city,California,CA,"60,390"
Smyrna town,Tennessee,TN,"60,302"
Weymouth Town city,Massachusetts,MA,"60,159"
Kokomo city,Indiana,IN,"60,093"
Great Falls city,Montana,MT,"60,013"
Euless city,Texas,TX,"60,010"
Winter Haven city,Florida,FL,"59,975"
San Rafael city,California,CA,"59,961"
Medford city,Massachusetts,MA,"59,898"
Grand Forks city,North Dakota,ND,"59,845"
West Allis city,Wisconsin,WI,"59,784"
Coconut Creek city,Florida,FL,"59,721"
Hempstead village,New York,NY,"59,569"
Beaumont city,California,CA,"59,502"
Lenexa city,Kansas,KS,"59,427"
Spring Hill city,Tennessee,TN,"59,398"
Petaluma city,California,CA,"59,393"
Brookhaven city,Georgia,GA,"59,370"
Pico Rivera city,California,CA,"59,363"
Hoboken city,New Jersey,NJ,"59,149"
Youngstown city,Ohio,OH,"59,123"
Santee city,California,CA,"59,104"
Lake Havasu City city,Arizona,AZ,"59,037"
Dubuque city,Iowa,IA,"58,987"
Gardena city,California,CA,"58,921"
Des Plaines city,Illinois,IL,"58,832"
Casper city,Wyoming,WY,"58,823"
Cupertino city,California,CA,"58,710"
Lacey city,Washington,WA,"58,644"
Terre Haute city,Indiana,IN,"58,531"
Midwest City city,Oklahoma,OK,"58,505"
National City city,California,CA,"58,460"
Lancaster city,Pennsylvania,PA,"58,441"
Bowie city,Maryland,MD,"58,421"
Royal Oak city,Michigan,MI,"58,251"
Pocatello city,Idaho,ID,"58,231"
Bradenton city,Florida,FL,"58,184"
Carson City,Nevada,NV,"58,148"
Springfield city,Ohio,OH,"58,138"
St. Clair Shores city,Michigan,MI,"58,077"
Orland Park village,Illinois,IL,"58,020"
Monterey Park city,California,CA,"57,996"
Decatur city,Alabama,AL,"57,974"
Bozeman city,Montana,MT,"57,894"
Texas City city,Texas,TX,"57,875"
Taylorsville city,Utah,UT,"57,819"
Sarasota city,Florida,FL,"57,764"
Southaven city,Mississippi,MS,"57,493"
New Brunswick city,New Jersey,NJ,"57,487"
Saratoga Springs city,Utah,UT,"57,411"
Coeur d'Alene city,Idaho,ID,"57,355"
Tigard city,Oregon,OR,"57,301"
Smyrna city,Georgia,GA,"57,177"
Albany city,Oregon,OR,"57,156"
Bonita Springs city,Florida,FL,"57,112"
Kingsport city,Tennessee,TN,"57,109"
Kettering city,Ohio,OH,"57,028"
Perth Amboy city,New Jersey,NJ,"56,939"
Logan city,Utah,UT,"56,770"
Wake Forest town,North Carolina,NC,"56,764"
DeSoto city,Texas,TX,"56,711"
Bartlett city,Tennessee,TN,"56,708"
Oak Lawn village,Illinois,IL,"56,531"
Plainfield city,New Jersey,NJ,"56,507"
Highland city,California,CA,"56,499"
Olympia city,Washington,WA,"56,271"
Lincoln city,California,CA,"56,268"
Burleson city,Texas,TX,"56,253"
Fountain Valley city,California,CA,"56,036"
West Sacramento city,California,CA,"55,991"
Anderson city,Indiana,IN,"55,851"
Port Arthur city,Texas,TX,"55,799"
Valdosta city,Georgia,GA,"55,667"
Twin Falls city,Idaho,ID,"55,589"
San Jacinto city,California,CA,"55,515"
Mount Prospect village,Illinois,IL,"55,460"
Peabody city,Massachusetts,MA,"55,418"
Chicopee city,Massachusetts,MA,"55,381"
West Haven city,Connecticut,CT,"55,379"
Apple Valley city,Minnesota,MN,"55,272"
Berwyn city,Illinois,IL,"55,152"
Tinley Park village,Illinois,IL,"54,856"
Kentwood city,Michigan,MI,"54,768"
Manhattan city,Kansas,KS,"54,700"
Fulshear city,Texas,TX,"54,629"
Rocky Mount city,North Carolina,NC,"54,541"
Arcadia city,California,CA,"54,472"
Yucaipa city,California,CA,"54,465"
Methuen city,Massachusetts,MA,"54,272"
Pensacola city,Florida,FL,"53,898"
Wheaton city,Illinois,IL,"53,741"
Elkhart city,Indiana,IN,"53,690"
Joplin city,Missouri,MO,"53,605"
Elyria city,Ohio,OH,"53,604"
Edina city,Minnesota,MN,"53,564"
Rockwall city,Texas,TX,"53,547"
Galveston city,Texas,TX,"53,538"
Colton city,California,CA,"53,528"
Pinellas Park city,Florida,FL,"53,503"
Placentia city,California,CA,"53,395"
Normal town,Illinois,IL,"53,304"
Grand Island city,Nebraska,NE,"53,250"
Delano city,California,CA,"53,198"
Palm Desert city,California,CA,"53,147"
West New York town,New Jersey,NJ,"52,975"
Oak Park village,Illinois,IL,"52,947"
Jeffersonville city,Indiana,IN,"52,912"
Mooresville town,North Carolina,NC,"52,884"
Minnetonka city,Minnesota,MN,"52,651"
Summerville town,South Carolina,SC,"52,625"
Cathedral City city,California,CA,"52,517"
Gallatin city,Tennessee,TN,"52,489"
Novato city,California,CA,"52,311"
Diamond Bar city,California,CA,"52,292"
Middletown city,Ohio,OH,"52,291"
Battle Creek city,Michigan,MI,"52,205"
Huntington Park city,California,CA,"52,166"
Burien city,Washington,WA,"52,046"
Columbus city,Indiana,IN,"51,970"
Collierville town,Tennessee,TN,"51,951"
Everett city,Massachusetts,MA,"51,825"
Dunwoody city,Georgia,GA,"51,795"
Bothell city,Washington,WA,"51,770"
Celina city,Texas,TX,"51,661"
Lebanon city,Tennessee,TN,"51,501"
Prescott Valley town,Arizona,AZ,"51,440"
Newark city,Ohio,OH,"51,424"
Grapevine city,Texas,TX,"51,320"
Watsonville city,California,CA,"51,320"
Florissant city,Missouri,MO,"51,290"
Ocoee city,Florida,FL,"51,269"
Paramount city,California,CA,"51,169"
Harrisonburg city,Virginia,VA,"51,164"
Troy city,New York,NY,"51,065"
La Crosse city,Wisconsin,WI,"51,049"
Mishawaka city,Indiana,IN,"51,020"
Milford city (balance),Connecticut,CT,"51,004"
Cuyahoga Falls city,Ohio,OH,"50,979"
Hoffman Estates village,Illinois,IL,"50,920"
Clermont city,Florida,FL,"50,851"
Murray city,Utah,UT,"50,817"
Fort Pierce city,Florida,FL,"50,805"
Harrisburg city,Pennsylvania,PA,"50,649"
Downers Grove village,Illinois,IL,"50,552"
Enid city,Oklahoma,OK,"50,519"
Aliso Viejo city,California,CA,"50,457"
Coral Gables city,Florida,FL,"50,379"
Goose Creek city,South Carolina,SC,"50,352"
Cleveland city,Tennessee,TN,"50,232"
Sherman city,Texas,TX,"50,229"
Draper city,Utah,UT,"50,166"
Stillwater city,Oklahoma,OK,"50,138"
Glendora city,California,CA,"50,101"
Portage city,Michigan,MI,"49,975"
St. Louis Park city,Minnesota,MN,"49,899"
Titusville city,Florida,FL,"49,883"
Barnstable Town city,Massachusetts,MA,"49,831"
Leesburg town,Virginia,VA,"49,831"
Lawrence city,Indiana,IN,"49,817"
San Luis Obispo city,California,CA,"49,729"
Sheboygan city,Wisconsin,WI,"49,624"
Cedar Hill city,Texas,TX,"49,618"
Rosemead city,California,CA,"49,582"
Lakewood city,Ohio,OH,"49,517"
Huntsville city,Texas,TX,"49,500"
Chesterfield city,Missouri,MO,"49,465"
Dublin city,Ohio,OH,"49,456"
Poway city,California,CA,"49,435"
Cypress city,California,CA,"49,286"
Ceres city,California,CA,"49,253"
Covina city,California,CA,"49,245"
East Lansing city,Michigan,MI,"48,964"
Plainfield village,Illinois,IL,"48,881"
Oro Valley town,Arizona,AZ,"48,855"
Columbia city,Tennessee,TN,"48,812"
Wauwatosa city,Wisconsin,WI,"48,794"
Winter Garden city,Florida,FL,"48,771"
Bedford city,Texas,TX,"48,728"
Los Banos city,California,CA,"48,684"
Holly Springs town,North Carolina,NC,"48,674"
Wentzville city,Missouri,MO,"48,646"
Waxahachie city,Texas,TX,"48,617"
Middletown city,Connecticut,CT,"48,616"
Wilson city,North Carolina,NC,"48,579"
Hattiesburg city,Mississippi,MS,"48,522"
Euclid city,Ohio,OH,"48,421"
Shakopee city,Minnesota,MN,"48,401"
Azusa city,California,CA,"48,383"
Prescott city,Arizona,AZ,"48,224"
Biloxi city,Mississippi,MS,"48,144"
Beavercreek city,Ohio,OH,"48,012"
East Providence city,Rhode Island,RI,"47,961"
Brea city,California,CA,"47,844"
Spanish Fork city,Utah,UT,"47,809"
Urbandale city,Iowa,IA,"47,759"
Gainesville city,Georgia,GA,"47,712"
Glenview village,Illinois,IL,"47,634"
Mansfield city,Ohio,OH,"47,593"
Niagara Falls city,New York,NY,"47,512"
Minot city,North Dakota,ND,"47,440"
Olive Branch city,Mississippi,MS,"47,365"
Altamonte Springs city,Florida,FL,"47,261"
Roswell city,New Mexico,NM,"47,176"
Sayreville borough,New Jersey,NJ,"47,165"
Oakley city,California,CA,"47,158"
Mentor city,Ohio,OH,"47,113"
Attleboro city,Massachusetts,MA,"47,085"
Roseville city,Michigan,MI,"47,047"
Cerritos city,California,CA,"46,851"
Binghamton city,New York,NY,"46,773"
Riverton city,Utah,UT,"46,680"
Keller city,Texas,TX,"46,643"
Hackensack city,New Jersey,NJ,"46,630"
Monroe city,Louisiana,LA,"46,622"
Delaware city,Ohio,OH,"46,521"
Charleston city,West Virginia,WV,"46,482"
Mankato city,Minnesota,MN,"46,459"
La Mirada city,California,CA,"46,367"
Rancho Santa Margarita city,California,CA,"46,353"
West Lafayette city,Indiana,IN,"46,338"
North Lauderdale city,Florida,FL,"46,335"
Fuquay-Varina town,North Carolina,NC,"46,317"
Greer city,South Carolina,SC,"46,316"
Farmington city,New Mexico,NM,"46,262"
Newark city,California,CA,"46,254"
Salina city,Kansas,KS,"46,109"
Elmhurst city,Illinois,IL,"46,108"
Morgan Hill city,California,CA,"45,952"
The Colony city,Texas,TX,"45,897"
Cutler Bay town,Florida,FL,"45,833"
Post Falls city,Idaho,ID,"45,800"
Haltom City city,Texas,TX,"45,786"
Oakland Park city,Florida,FL,"45,771"
Strongsville city,Ohio,OH,"45,768"
Moorhead city,Minnesota,MN,"45,726"
Salem city,Massachusetts,MA,"45,677"
North Miami Beach city,Florida,FL,"45,655"
DeLand city,Florida,FL,"45,587"
Newnan city,Georgia,GA,"45,548"
Brentwood city,Tennessee,TN,"45,525"
Palm Springs city,California,CA,"45,453"
Blacksburg town,Virginia,VA,"45,452"
Linden city,New Jersey,NJ,"45,393"
Bremerton city,Washington,WA,"45,291"
York city,Pennsylvania,PA,"45,241"
Greenacres city,Florida,FL,"45,197"
Coachella city,California,CA,"45,165"
Fairfield city,Ohio,OH,"45,094"
Hickory city,North Carolina,NC,"45,081"
Hollister city,California,CA,"45,033"
Bountiful city,Utah,UT,"45,024"
Huntington city,West Virginia,WV,"44,942"
Rohnert Park city,California,CA,"44,894"
Littleton city,Colorado,CO,"44,879"
Charlottesville city,Virginia,VA,"44,767"
Sierra Vista city,Arizona,AZ,"44,710"
Concord city,New Hampshire,NH,"44,674"
Wilkes-Barre city,Pennsylvania,PA,"44,661"
Ormond Beach city,Florida,FL,"44,596"
Woonsocket city,Rhode Island,RI,"44,508"
Prosper town,Texas,TX,"44,503"
Lombard village,Illinois,IL,"44,490"
Fond du Lac city,Wisconsin,WI,"44,469"
Burlington city,Vermont,VT,"44,432"
Schertz city,Texas,TX,"44,428"
Lake Worth Beach city,Florida,FL,"44,417"
Apache Junction city,Arizona,AZ,"44,309"
El Centro city,California,CA,"44,230"
Leominster city,Massachusetts,MA,"44,209"
Midlothian city,Texas,TX,"44,104"
Mount Juliet city,Tennessee,TN,"44,066"
Cleveland Heights city,Ohio,OH,"44,064"
Freeport village,New York,NY,"44,028"
Grove City city,Ohio,OH,"44,019"
Hagerstown city,Maryland,MD,"43,909"
Woburn city,Massachusetts,MA,"43,895"
Indian Trail town,North Carolina,NC,"43,867"
Weslaco city,Texas,TX,"43,864"
Kiryas Joel village,New York,NY,"43,863"
Manassas city,Virginia,VA,"43,616"
Lompoc city,California,CA,"43,594"
Huber Heights city,Ohio,OH,"43,590"
Brighton city,Colorado,CO,"43,473"
Danville town,California,CA,"43,410"
Bullhead City city,Arizona,AZ,"43,266"
Beverly city,Massachusetts,MA,"43,223"
Alexandria city,Louisiana,LA,"43,133"
Pittsfield city,Massachusetts,MA,"43,121"
Buffalo Grove village,Illinois,IL,"43,072"
Plant City city,Florida,FL,"43,046"
Hallandale Beach city,Florida,FL,"43,043"
Saginaw city,Michigan,MI,"43,001"
Sumter city,South Carolina,SC,"42,958"
Reynoldsburg city,Ohio,OH,"42,897"
Campbell city,California,CA,"42,895"
Edmonds city,Washington,WA,"42,871"
Owasso city,Oklahoma,OK,"42,821"
Shelton city,Connecticut,CT,"42,805"
Midland city,Michigan,MI,"42,780"
Cottage Grove city,Minnesota,MN,"42,760"
Altoona city,Pennsylvania,PA,"42,719"
Florence city,Alabama,AL,"42,716"
Hutto city,Texas,TX,"42,661"
Peachtree Corners city,Georgia,GA,"42,638"
Rosenberg city,Texas,TX,"42,571"
Jefferson City city,Missouri,MO,"42,564"
Puyallup city,Washington,WA,"42,552"
Marion city,Iowa,IA,"42,542"
Moline city,Illinois,IL,"42,442"
Marlborough city,Massachusetts,MA,"42,169"
Fitchburg city,Massachusetts,MA,"42,145"
Haines City city,Florida,FL,"42,073"
San Bruno city,California,CA,"42,035"
Danville city,Virginia,VA,"41,993"
Royal Palm Beach village,Florida,FL,"41,948"
Oviedo city,Florida,FL,"41,901"
Coppell city,Texas,TX,"41,785"
Windsor town,Colorado,CO,"41,734"
Lancaster city,Ohio,OH,"41,671"
Covington city,Kentucky,KY,"41,611"
Lynnwood city,Washington,WA,"41,597"
Crystal Lake city,Illinois,IL,"41,513"
Milton city,Georgia,GA,"41,490"
La Vergne city,Tennessee,TN,"41,430"
Cedar Falls city,Iowa,IA,"41,417"
Lake Stevens city,Washington,WA,"41,350"
American Fork city,Utah,UT,"41,298"
Friendswood city,Texas,TX,"41,291"
Brookfield city,Wisconsin,WI,"41,268"
State College borough,Pennsylvania,PA,"41,228"
Stanton city,California,CA,"41,188"
Romeoville village,Illinois,IL,"41,177"
Hobbs city,New Mexico,NM,"41,061"
West Fargo city,North Dakota,ND,"41,027"
Amherst Town city,Massachusetts,MA,"40,989"
Florence city,South Carolina,SC,"40,923"
Tooele city,Utah,UT,"40,919"
Cedar City city,Utah,UT,"40,885"
Kearny town,New Jersey,NJ,"40,866"
Lathrop city,California,CA,"40,860"
Cape Girardeau city,Missouri,MO,"40,818"
Lancaster city,Texas,TX,"40,780"
Peachtree City city,Georgia,GA,"40,758"
Bartlett village,Illinois,IL,"40,718"
Menomonee Falls village,Wisconsin,WI,"40,700"
Rexburg city,Idaho,ID,"40,695"
Annapolis city,Maryland,MD,"40,689"
Fort Lee borough,New Jersey,NJ,"40,566"
Belleville city,Illinois,IL,"40,560"
Douglasville city,Georgia,GA,"40,540"
Myrtle Beach city,South Carolina,SC,"40,535"
Aventura city,Florida,FL,"40,531"
Georgetown city,Kentucky,KY,"40,518"
DeKalb city,Illinois,IL,"40,491"
Westfield city,Massachusetts,MA,"40,403"
Findlay city,Ohio,OH,"40,343"
New Berlin city,Wisconsin,WI,"40,302"
Bettendorf city,Iowa,IA,"40,281"
Wausau city,Wisconsin,WI,"40,262"
Chelsea city,Massachusetts,MA,"40,245"
Valley Stream village,New York,NY,"40,232"
Dover city,Delaware,DE,"40,191"
Maplewood city,Minnesota,MN,"40,142"
Prattville city,Alabama,AL,"40,139"
Germantown city,Tennessee,TN,"40,128"
Rancho Palos Verdes city,California,CA,"40,064"
San Luis city,Arizona,AZ,"40,064"
Monroe city,North Carolina,NC,"40,054"
Lake Oswego city,Oregon,OR,"40,029"
Norwich city,Connecticut,CT,"39,993"
La Quinta city,California,CA,"39,907"
Culver City city,California,CA,"39,883"
Urbana city,Illinois,IL,"39,831"
Winter Springs city,Florida,FL,"39,822"
Parkland city,Florida,FL,"39,700"
Issaquah city,Washington,WA,"39,664"
Copperas Cove city,Texas,TX,"39,627"
Riviera Beach city,Florida,FL,"39,620"
Spartanburg city,South Carolina,SC,"39,606"
Richmond city,Kentucky,KY,"39,581"
Hutchinson city,Kansas,KS,"39,561"
Carol Stream village,Illinois,IL,"39,556"
Hurst city,Texas,TX,"39,500"
Grants Pass city,Oregon,OR,"39,468"
Kearns metro township,Utah,UT,"39,398"
Weatherford city,Texas,TX,"39,397"
Woodstock city,Georgia,GA,"39,381"
Garner town,North Carolina,NC,"39,345"
Sun Prairie city,Wisconsin,WI,"39,253"
Duncanville city,Texas,TX,"39,203"
Keizer city,Oregon,OR,"39,152"
Braintree Town city,Massachusetts,MA,"39,134"
Syracuse city,Utah,UT,"38,999"
Atlantic City city,New Jersey,NJ,"38,959"
Hilliard city,Ohio,OH,"38,832"
Seguin city,Texas,TX,"38,789"
Quincy city,Illinois,IL,"38,786"
